id,Title,Subject,download_link,sample_paper_id,Class,Exam_Type,language,Subscription_Type,board_type,year
MPBSE_44,Biology 2023,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Biology+2023+Set+A.pdf,MPBSE_44,Class 12th,Board,English,Basic,MPBSE,2023
MPBSE_45,Biology 2024,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Class+12th+Biology+2024+Set+A.pdf,MPBSE_45,Class 12th,Board,English,Basic,MPBSE,2024
MPBSE_46,Biology 2025,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_BOARD_Biology_2025.pdf,MPBSE_46,Class 12th,Board,English,Basic,MPBSE,2025
MPBSE_47,Chemistry 2016,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/CHEM-2016.pdf,MPBSE_47,Class 12th,Board,English,Basic,MPBSE,2016
MPBSE_48,Chemistry 2017,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/CHEM-2017.pdf,MPBSE_48,Class 12th,Board,English,Basic,MPBSE,2017
MPBSE_49,Chemistry 2020,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/chemistry/mp-board-class-12-chemistry-e-822-2020.pdf,MPBSE_49,Class 12th,Board,English,Basic,MPBSE,2020
MPBSE_50,Chemistry 2022,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Chemistry+2022+Set+A+E-220.pdf,MPBSE_50,Class 12th,Board,English,Basic,MPBSE,2022
MPBSE_51,Chemistry 2023,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Chemistry+2023+Set+A.pdf,MPBSE_51,Class 12th,Board,English,Basic,MPBSE,2023
MPBSE_52,Chemistry 2024,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Class+12th+Chemistry+2024+Set+B.pdf,MPBSE_52,Class 12th,Board,English,Basic,MPBSE,2024
MPBSE_53,Chemistry 2025,Chemistry,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_BOARD_Chemistry_2025.pdf,MPBSE_53,Class 12th,Board,English,Basic,MPBSE,2025
MPBSE_54,English 2022,English,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_Board_2022_PYP.pdf,MPBSE_54,Class 12th,Board,English,Basic,MPBSE,2022
MPBSE_55,English 2023,English,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_Board_2023_PYP.pdf,MPBSE_55,Class 12th,Board,English,Basic,MPBSE,2023
MPBSE_56,English 2024,English,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_Board_2024_PYP.pdf,MPBSE_56,Class 12th,Board,English,Basic,MPBSE,2024
MPBSE_57,English 2025,English,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP%20Board/ENGLISH/mp-board-class-12-english-2025.pdf,MPBSE_57,Class 12th,Board,English,Basic,MPBSE,2025
MPBSE_58,Hindi 2022,Hindi,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP%20Board/HINDI/mp-board-class-12-hindi-e-201-2022.pdf,MPBSE_58,Class 12th,Board,English,Basic,MPBSE,2022
MPBSE_59,Hindi 2023,Hindi,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP%20Board/HINDI/mp-board-class-12-hindi%202023%20(1).pdf,MPBSE_59,Class 12th,Board,English,Basic,MPBSE,2023
MPBSE_60,Hindi 2024,Hindi,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP%20Board/HINDI/mp-board-class-12%202024%20(1).pdf,MPBSE_60,Class 12th,Board,English,Basic,MPBSE,2024
